iter	Passed	Remaining
607	25094	16179
608	25158	16152
609	25222	16125
610	25282	16096
611	25344	16068
612	25397	16033
613	25448	15998
614	25502	15964
615	25558	15932
616	25613	15899
617	25664	15863
618	25720	15831
619	25774	15797
620	25827	15762
621	25875	15724
622	25923	15687
623	25971	15649
624	26027	15616
625	26079	15580
626	26132	15545
627	26181	15508
628	26229	15470
629	26276	15432
630	26333	15399
631	26385	15363
632	26435	15326
633	26485	15289
634	26534	15252
635	26580	15212
636	26615	15167
637	26648	15120
638	26688	15077
639	26723	15032
640	26762	14988
641	26813	14952
642	26873	14920
643	26919	14880
644	26949	14832
645	26983	14786
646	27015	14739
647	27045	14691
648	27078	14645
649	27109	14597
650	27145	14552
651	27192	14513
652	27263	14487
653	27342	14465
654	27415	14440
655	27484	14412
656	27554	14385
657	27629	14360
658	27691	14329
659	27753	14297
660	27817	14266
661	27877	14233
662	27947	14205
663	28007	14172
664	28067	14139
665	28129	14107
666	28205	14081
667	28274	14052
668	28346	14024
669	28419	13997
670	28479	13964
671	28541	13930
672	28603	13897
673	28661	13863
674	28722	13829
675	28792	13799
676	28859	13769
677	28921	13735
678	28977	13699
679	29034	13663
680	29093	13628
681	29155	13594
682	29211	13557
683	29271	13522
684	29329	13487
685	29399	13456
686	29455	13419
687	29517	13385
688	29584	13353
689	29656	13324
690	29758	13307
691	29853	13287
692	29921	13255
693	29999	13227
694	30065	13194
695	30132	13161
696	30201	13129
697	30270	13096
698	30338	13064
699	30406	13031
700	30481	13001
701	30546	12967
702	30609	12931
703	30681	12900
704	30740	12863
705	30809	12830
706	30889	12801
707	30948	12763
708	31008	12727
709	31070	12690
710	31131	12654
711	31196	12618
712	31268	12586
713	31324	12547
714	31384	12510
715	31446	12473
716	31513	12438
717	31568	12398
718	31620	12358
719	31672	12317
720	31727	12277
721	31779	12236
722	31829	12194
723	31880	12153
724	31931	12112
725	31988	12072
726	32045	12033
727	32101	11994
728	32153	11952
729	32202	11910
730	32252	11868
731	32305	11827
732	32360	11787
733	32415	11747
734	32480	11710
735	32550	11675
736	32617	11639
737	32681	11602
738	32742	11564
739	32809	11527
740	32872	11489
741	32936	11452
742	32996	11413
743	33073	11379
744	33143	11344
745	33206	11306
746	33273	11269
747	33356	11237
748	33436	11204
749	33515	11171
750	33597	11139
751	33661	11101
752	33725	11062
753	33798	11027
754	33861	10988
755	33925	10949
756	33987	10910
757	34055	10872
758	34129	10836
759	34203	10801
760	34270	10763
761	34336	10724
762	34400	10685
763	34463	10645
764	34525	10605
765	34685	10595
766	34781	10566
767	34861	10531
768	34938	10495
769	35007	10456
770	35072	10417
771	35132	10375
772	35193	10334
773	35251	10293
774	35317	10253
775	35381	10213
776	35435	10170
777	35497	10129
778	35563	10089
779	35623	10047
780	35689	10007
781	35749	9966
782	35816	9926
783	35884	9886
784	35957	9848
785	36027	9809
786	36084	9766
787	36147	9725
788	36223	9687
789	36303	9650
790	36380	9612
791	36443	9570
792	36507	9529
793	36573	9488
794	36636	9447
795	36705	9406
796	36767	9364
797	36830	9322
798	36891	9280
799	36952	9238
800	37023	9198
801	37083	9155
802	37146	9113
803	37255	9082
804	37331	9043
805	37381	8997
806	37431	8951
807	37500	8911
808	37596	8876
809	37660	8833
810	37724	8791
811	37792	8749
812	37862	8708
813	37925	8666
814	37998	8625
815	38076	8585
816	38143	8543
817	38216	8502
818	38273	8458
819	38326	8413
820	38377	8367
821	38428	8321
822	38478	8275
823	38532	8230
824	38598	8187
825	38660	8143
826	38729	8101
827	38792	8058
828	38861	8016
829	38928	7973
830	38992	7929
831	39054	7886
832	39122	7843
833	39208	7804
834	39288	7763
835	39352	7719
836	39415	7675
837	39469	7630
838	39523	7584
839	39583	7539
840	39630	7492
841	39676	7445
842	39733	7399
843	39797	7355
844	39865	7312
845	39940	7270
846	40006	7226
847	40068	7182
848	40138	7138
849	40211	7096
850	40273	7051
851	40351	7009
852	40422	6966
853	40573	6936
854	40751	6911
855	40831	6868
856	40894	6823
857	40958	6778
858	41017	6732
859	41078	6687
860	41138	6641
861	41203	6596
862	41258	6549
863	41318	6503
864	41383	6458
865	41444	6412
866	41502	6366
867	41560	6320
868	41605	6271
869	41651	6223
870	41700	6176
871	41751	6128
872	41804	6081
873	41866	6035
874	41939	5991
875	42008	5946
876	42077	5901
877	42147	5856
878	42208	5810
879	42271	5764
880	42331	5717
881	42396	5672
882	42476	5628
883	42560	5584
884	42625	5538
885	42692	5493
886	42753	5446
887	42821	5400
888	42908	5357
889	42974	5311
890	43049	5266
891	43116	5220
892	43177	5173
893	43236	5126
894	43303	5080
895	43368	5033
896	43422	4986
897	43489	4939
898	43558	4893
899	43624	4847
900	43686	4800
901	43753	4753
902	43814	4706
903	43874	4659
904	43931	4611
905	43981	4563
906	44049	4516
907	44117	4470
908	44182	4423
909	44251	4376
910	44314	4329
911	44369	4281
912	44430	4233
913	44495	4186
914	44551	4138
915	44612	4091
916	44719	4047
917	44817	4003
918	44883	3956
919	44982	3911
920	45052	3864
921	45134	3818
922	45203	3771
923	45266	3723
924	45328	3675
925	45407	3628
926	45488	3582
927	45542	3533
928	45615	3486
929	45684	3438
930	45753	3390
931	45829	3343
932	45901	3296
933	45976	3248
934	46044	3200
935	46115	3153
936	46184	3105
937	46240	3056
938	46302	3007
939	46365	2959
940	46426	2910
941	46491	2862
942	46555	2814
943	46625	2765
944	46693	2717
945	46755	2668
946	46814	2620
947	46875	2571
948	46942	2522
949	46995	2473
950	47047	2424
951	47114	2375
952	47178	2326
953	47241	2277
954	47304	2228
955	47370	2180
956	47432	2131
957	47491	2082
958	47553	2033
959	47621	1984
960	47680	1935
961	47739	1885
962	47802	1836
963	47863	1787
964	47953	1739
965	48022	1690
966	48082	1640
967	48144	1591
968	48203	1542
969	48265	1492
970	48337	1443
971	48401	1394
972	48468	1344
973	48531	1295
974	48598	1246
975	48678	1197
976	48740	1147
977	48801	1097
978	48863	1048
979	48936	998
980	48994	948
981	49063	899
982	49133	849
983	49201	800
984	49270	750
985	49341	700
986	49411	650
987	49479	600
988	49553	551
989	49612	501
990	49672	451
991	49730	401
992	49786	350
993	49844	300
994	49906	250
995	49975	200
996	50045	150
997	50107	100
998	50167	50
999	50225	0
